"task","year","bio"
1,1980,"BIO01"
2,1981,"BIO01"
3,1982,"BIO01"
4,1983,"BIO01"
5,1984,"BIO01"
6,1985,"BIO01"
7,1986,"BIO01"
8,1987,"BIO01"
9,1988,"BIO01"
10,1989,"BIO01"
11,1990,"BIO01"
12,1991,"BIO01"
13,1992,"BIO01"
14,1993,"BIO01"
15,1994,"BIO01"
16,1995,"BIO01"
17,1996,"BIO01"
18,1997,"BIO01"
19,1998,"BIO01"
20,1999,"BIO01"
21,2000,"BIO01"
22,2001,"BIO01"
23,2002,"BIO01"
24,2003,"BIO01"
25,2004,"BIO01"
26,2005,"BIO01"
27,2006,"BIO01"
28,2007,"BIO01"
29,2008,"BIO01"
30,2009,"BIO01"
31,2010,"BIO01"
32,2011,"BIO01"
33,2012,"BIO01"
34,2013,"BIO01"
35,2014,"BIO01"
36,2015,"BIO01"
37,2016,"BIO01"
38,2017,"BIO01"
39,2018,"BIO01"
40,1980,"BIO02"
41,1981,"BIO02"
42,1982,"BIO02"
43,1983,"BIO02"
44,1984,"BIO02"
45,1985,"BIO02"
46,1986,"BIO02"
47,1987,"BIO02"
48,1988,"BIO02"
49,1989,"BIO02"
50,1990,"BIO02"
51,1991,"BIO02"
52,1992,"BIO02"
53,1993,"BIO02"
54,1994,"BIO02"
55,1995,"BIO02"
56,1996,"BIO02"
57,1997,"BIO02"
58,1998,"BIO02"
59,1999,"BIO02"
60,2000,"BIO02"
61,2001,"BIO02"
62,2002,"BIO02"
63,2003,"BIO02"
64,2004,"BIO02"
65,2005,"BIO02"
66,2006,"BIO02"
67,2007,"BIO02"
68,2008,"BIO02"
69,2009,"BIO02"
70,2010,"BIO02"
71,2011,"BIO02"
72,2012,"BIO02"
73,2013,"BIO02"
74,2014,"BIO02"
75,2015,"BIO02"
76,2016,"BIO02"
77,2017,"BIO02"
78,2018,"BIO02"
79,1980,"BIO03"
80,1981,"BIO03"
81,1982,"BIO03"
82,1983,"BIO03"
83,1984,"BIO03"
84,1985,"BIO03"
85,1986,"BIO03"
86,1987,"BIO03"
87,1988,"BIO03"
88,1989,"BIO03"
89,1990,"BIO03"
90,1991,"BIO03"
91,1992,"BIO03"
92,1993,"BIO03"
93,1994,"BIO03"
94,1995,"BIO03"
95,1996,"BIO03"
96,1997,"BIO03"
97,1998,"BIO03"
98,1999,"BIO03"
99,2000,"BIO03"
100,2001,"BIO03"
101,2002,"BIO03"
102,2003,"BIO03"
103,2004,"BIO03"
104,2005,"BIO03"
105,2006,"BIO03"
106,2007,"BIO03"
107,2008,"BIO03"
108,2009,"BIO03"
109,2010,"BIO03"
110,2011,"BIO03"
111,2012,"BIO03"
112,2013,"BIO03"
113,2014,"BIO03"
114,2015,"BIO03"
115,2016,"BIO03"
116,2017,"BIO03"
117,2018,"BIO03"
118,1980,"BIO04"
119,1981,"BIO04"
120,1982,"BIO04"
121,1983,"BIO04"
122,1984,"BIO04"
123,1985,"BIO04"
124,1986,"BIO04"
125,1987,"BIO04"
126,1988,"BIO04"
127,1989,"BIO04"
128,1990,"BIO04"
129,1991,"BIO04"
130,1992,"BIO04"
131,1993,"BIO04"
132,1994,"BIO04"
133,1995,"BIO04"
134,1996,"BIO04"
135,1997,"BIO04"
136,1998,"BIO04"
137,1999,"BIO04"
138,2000,"BIO04"
139,2001,"BIO04"
140,2002,"BIO04"
141,2003,"BIO04"
142,2004,"BIO04"
143,2005,"BIO04"
144,2006,"BIO04"
145,2007,"BIO04"
146,2008,"BIO04"
147,2009,"BIO04"
148,2010,"BIO04"
149,2011,"BIO04"
150,2012,"BIO04"
151,2013,"BIO04"
152,2014,"BIO04"
153,2015,"BIO04"
154,2016,"BIO04"
155,2017,"BIO04"
156,2018,"BIO04"
157,1980,"BIO05"
158,1981,"BIO05"
159,1982,"BIO05"
160,1983,"BIO05"
161,1984,"BIO05"
162,1985,"BIO05"
163,1986,"BIO05"
164,1987,"BIO05"
165,1988,"BIO05"
166,1989,"BIO05"
167,1990,"BIO05"
168,1991,"BIO05"
169,1992,"BIO05"
170,1993,"BIO05"
171,1994,"BIO05"
172,1995,"BIO05"
173,1996,"BIO05"
174,1997,"BIO05"
175,1998,"BIO05"
176,1999,"BIO05"
177,2000,"BIO05"
178,2001,"BIO05"
179,2002,"BIO05"
180,2003,"BIO05"
181,2004,"BIO05"
182,2005,"BIO05"
183,2006,"BIO05"
184,2007,"BIO05"
185,2008,"BIO05"
186,2009,"BIO05"
187,2010,"BIO05"
188,2011,"BIO05"
189,2012,"BIO05"
190,2013,"BIO05"
191,2014,"BIO05"
192,2015,"BIO05"
193,2016,"BIO05"
194,2017,"BIO05"
195,2018,"BIO05"
196,1980,"BIO06"
197,1981,"BIO06"
198,1982,"BIO06"
199,1983,"BIO06"
200,1984,"BIO06"
201,1985,"BIO06"
202,1986,"BIO06"
203,1987,"BIO06"
204,1988,"BIO06"
205,1989,"BIO06"
206,1990,"BIO06"
207,1991,"BIO06"
208,1992,"BIO06"
209,1993,"BIO06"
210,1994,"BIO06"
211,1995,"BIO06"
212,1996,"BIO06"
213,1997,"BIO06"
214,1998,"BIO06"
215,1999,"BIO06"
216,2000,"BIO06"
217,2001,"BIO06"
218,2002,"BIO06"
219,2003,"BIO06"
220,2004,"BIO06"
221,2005,"BIO06"
222,2006,"BIO06"
223,2007,"BIO06"
224,2008,"BIO06"
225,2009,"BIO06"
226,2010,"BIO06"
227,2011,"BIO06"
228,2012,"BIO06"
229,2013,"BIO06"
230,2014,"BIO06"
231,2015,"BIO06"
232,2016,"BIO06"
233,2017,"BIO06"
234,2018,"BIO06"
235,1980,"BIO07"
236,1981,"BIO07"
237,1982,"BIO07"
238,1983,"BIO07"
239,1984,"BIO07"
240,1985,"BIO07"
241,1986,"BIO07"
242,1987,"BIO07"
243,1988,"BIO07"
244,1989,"BIO07"
245,1990,"BIO07"
246,1991,"BIO07"
247,1992,"BIO07"
248,1993,"BIO07"
249,1994,"BIO07"
250,1995,"BIO07"
251,1996,"BIO07"
252,1997,"BIO07"
253,1998,"BIO07"
254,1999,"BIO07"
255,2000,"BIO07"
256,2001,"BIO07"
257,2002,"BIO07"
258,2003,"BIO07"
259,2004,"BIO07"
260,2005,"BIO07"
261,2006,"BIO07"
262,2007,"BIO07"
263,2008,"BIO07"
264,2009,"BIO07"
265,2010,"BIO07"
266,2011,"BIO07"
267,2012,"BIO07"
268,2013,"BIO07"
269,2014,"BIO07"
270,2015,"BIO07"
271,2016,"BIO07"
272,2017,"BIO07"
273,2018,"BIO07"
274,1980,"BIO08"
275,1981,"BIO08"
276,1982,"BIO08"
277,1983,"BIO08"
278,1984,"BIO08"
279,1985,"BIO08"
280,1986,"BIO08"
281,1987,"BIO08"
282,1988,"BIO08"
283,1989,"BIO08"
284,1990,"BIO08"
285,1991,"BIO08"
286,1992,"BIO08"
287,1993,"BIO08"
288,1994,"BIO08"
289,1995,"BIO08"
290,1996,"BIO08"
291,1997,"BIO08"
292,1998,"BIO08"
293,1999,"BIO08"
294,2000,"BIO08"
295,2001,"BIO08"
296,2002,"BIO08"
297,2003,"BIO08"
298,2004,"BIO08"
299,2005,"BIO08"
300,2006,"BIO08"
301,2007,"BIO08"
302,2008,"BIO08"
303,2009,"BIO08"
304,2010,"BIO08"
305,2011,"BIO08"
306,2012,"BIO08"
307,2013,"BIO08"
308,2014,"BIO08"
309,2015,"BIO08"
310,2016,"BIO08"
311,2017,"BIO08"
312,2018,"BIO08"
313,1980,"BIO09"
314,1981,"BIO09"
315,1982,"BIO09"
316,1983,"BIO09"
317,1984,"BIO09"
318,1985,"BIO09"
319,1986,"BIO09"
320,1987,"BIO09"
321,1988,"BIO09"
322,1989,"BIO09"
323,1990,"BIO09"
324,1991,"BIO09"
325,1992,"BIO09"
326,1993,"BIO09"
327,1994,"BIO09"
328,1995,"BIO09"
329,1996,"BIO09"
330,1997,"BIO09"
331,1998,"BIO09"
332,1999,"BIO09"
333,2000,"BIO09"
334,2001,"BIO09"
335,2002,"BIO09"
336,2003,"BIO09"
337,2004,"BIO09"
338,2005,"BIO09"
339,2006,"BIO09"
340,2007,"BIO09"
341,2008,"BIO09"
342,2009,"BIO09"
343,2010,"BIO09"
344,2011,"BIO09"
345,2012,"BIO09"
346,2013,"BIO09"
347,2014,"BIO09"
348,2015,"BIO09"
349,2016,"BIO09"
350,2017,"BIO09"
351,2018,"BIO09"
352,1980,"BIO10"
353,1981,"BIO10"
354,1982,"BIO10"
355,1983,"BIO10"
356,1984,"BIO10"
357,1985,"BIO10"
358,1986,"BIO10"
359,1987,"BIO10"
360,1988,"BIO10"
361,1989,"BIO10"
362,1990,"BIO10"
363,1991,"BIO10"
364,1992,"BIO10"
365,1993,"BIO10"
366,1994,"BIO10"
367,1995,"BIO10"
368,1996,"BIO10"
369,1997,"BIO10"
370,1998,"BIO10"
371,1999,"BIO10"
372,2000,"BIO10"
373,2001,"BIO10"
374,2002,"BIO10"
375,2003,"BIO10"
376,2004,"BIO10"
377,2005,"BIO10"
378,2006,"BIO10"
379,2007,"BIO10"
380,2008,"BIO10"
381,2009,"BIO10"
382,2010,"BIO10"
383,2011,"BIO10"
384,2012,"BIO10"
385,2013,"BIO10"
386,2014,"BIO10"
387,2015,"BIO10"
388,2016,"BIO10"
389,2017,"BIO10"
390,2018,"BIO10"
391,1980,"BIO11"
392,1981,"BIO11"
393,1982,"BIO11"
394,1983,"BIO11"
395,1984,"BIO11"
396,1985,"BIO11"
397,1986,"BIO11"
398,1987,"BIO11"
399,1988,"BIO11"
400,1989,"BIO11"
401,1990,"BIO11"
402,1991,"BIO11"
403,1992,"BIO11"
404,1993,"BIO11"
405,1994,"BIO11"
406,1995,"BIO11"
407,1996,"BIO11"
408,1997,"BIO11"
409,1998,"BIO11"
410,1999,"BIO11"
411,2000,"BIO11"
412,2001,"BIO11"
413,2002,"BIO11"
414,2003,"BIO11"
415,2004,"BIO11"
416,2005,"BIO11"
417,2006,"BIO11"
418,2007,"BIO11"
419,2008,"BIO11"
420,2009,"BIO11"
421,2010,"BIO11"
422,2011,"BIO11"
423,2012,"BIO11"
424,2013,"BIO11"
425,2014,"BIO11"
426,2015,"BIO11"
427,2016,"BIO11"
428,2017,"BIO11"
429,2018,"BIO11"
430,1980,"BIO12"
431,1981,"BIO12"
432,1982,"BIO12"
433,1983,"BIO12"
434,1984,"BIO12"
435,1985,"BIO12"
436,1986,"BIO12"
437,1987,"BIO12"
438,1988,"BIO12"
439,1989,"BIO12"
440,1990,"BIO12"
441,1991,"BIO12"
442,1992,"BIO12"
443,1993,"BIO12"
444,1994,"BIO12"
445,1995,"BIO12"
446,1996,"BIO12"
447,1997,"BIO12"
448,1998,"BIO12"
449,1999,"BIO12"
450,2000,"BIO12"
451,2001,"BIO12"
452,2002,"BIO12"
453,2003,"BIO12"
454,2004,"BIO12"
455,2005,"BIO12"
456,2006,"BIO12"
457,2007,"BIO12"
458,2008,"BIO12"
459,2009,"BIO12"
460,2010,"BIO12"
461,2011,"BIO12"
462,2012,"BIO12"
463,2013,"BIO12"
464,2014,"BIO12"
465,2015,"BIO12"
466,2016,"BIO12"
467,2017,"BIO12"
468,2018,"BIO12"
469,1980,"BIO13"
470,1981,"BIO13"
471,1982,"BIO13"
472,1983,"BIO13"
473,1984,"BIO13"
474,1985,"BIO13"
475,1986,"BIO13"
476,1987,"BIO13"
477,1988,"BIO13"
478,1989,"BIO13"
479,1990,"BIO13"
480,1991,"BIO13"
481,1992,"BIO13"
482,1993,"BIO13"
483,1994,"BIO13"
484,1995,"BIO13"
485,1996,"BIO13"
486,1997,"BIO13"
487,1998,"BIO13"
488,1999,"BIO13"
489,2000,"BIO13"
490,2001,"BIO13"
491,2002,"BIO13"
492,2003,"BIO13"
493,2004,"BIO13"
494,2005,"BIO13"
495,2006,"BIO13"
496,2007,"BIO13"
497,2008,"BIO13"
498,2009,"BIO13"
499,2010,"BIO13"
500,2011,"BIO13"
501,2012,"BIO13"
502,2013,"BIO13"
503,2014,"BIO13"
504,2015,"BIO13"
505,2016,"BIO13"
506,2017,"BIO13"
507,2018,"BIO13"
508,1980,"BIO14"
509,1981,"BIO14"
510,1982,"BIO14"
511,1983,"BIO14"
512,1984,"BIO14"
513,1985,"BIO14"
514,1986,"BIO14"
515,1987,"BIO14"
516,1988,"BIO14"
517,1989,"BIO14"
518,1990,"BIO14"
519,1991,"BIO14"
520,1992,"BIO14"
521,1993,"BIO14"
522,1994,"BIO14"
523,1995,"BIO14"
524,1996,"BIO14"
525,1997,"BIO14"
526,1998,"BIO14"
527,1999,"BIO14"
528,2000,"BIO14"
529,2001,"BIO14"
530,2002,"BIO14"
531,2003,"BIO14"
532,2004,"BIO14"
533,2005,"BIO14"
534,2006,"BIO14"
535,2007,"BIO14"
536,2008,"BIO14"
537,2009,"BIO14"
538,2010,"BIO14"
539,2011,"BIO14"
540,2012,"BIO14"
541,2013,"BIO14"
542,2014,"BIO14"
543,2015,"BIO14"
544,2016,"BIO14"
545,2017,"BIO14"
546,2018,"BIO14"
547,1980,"BIO15"
548,1981,"BIO15"
549,1982,"BIO15"
550,1983,"BIO15"
551,1984,"BIO15"
552,1985,"BIO15"
553,1986,"BIO15"
554,1987,"BIO15"
555,1988,"BIO15"
556,1989,"BIO15"
557,1990,"BIO15"
558,1991,"BIO15"
559,1992,"BIO15"
560,1993,"BIO15"
561,1994,"BIO15"
562,1995,"BIO15"
563,1996,"BIO15"
564,1997,"BIO15"
565,1998,"BIO15"
566,1999,"BIO15"
567,2000,"BIO15"
568,2001,"BIO15"
569,2002,"BIO15"
570,2003,"BIO15"
571,2004,"BIO15"
572,2005,"BIO15"
573,2006,"BIO15"
574,2007,"BIO15"
575,2008,"BIO15"
576,2009,"BIO15"
577,2010,"BIO15"
578,2011,"BIO15"
579,2012,"BIO15"
580,2013,"BIO15"
581,2014,"BIO15"
582,2015,"BIO15"
583,2016,"BIO15"
584,2017,"BIO15"
585,2018,"BIO15"
586,1980,"BIO16"
587,1981,"BIO16"
588,1982,"BIO16"
589,1983,"BIO16"
590,1984,"BIO16"
591,1985,"BIO16"
592,1986,"BIO16"
593,1987,"BIO16"
594,1988,"BIO16"
595,1989,"BIO16"
596,1990,"BIO16"
597,1991,"BIO16"
598,1992,"BIO16"
599,1993,"BIO16"
600,1994,"BIO16"
601,1995,"BIO16"
602,1996,"BIO16"
603,1997,"BIO16"
604,1998,"BIO16"
605,1999,"BIO16"
606,2000,"BIO16"
607,2001,"BIO16"
608,2002,"BIO16"
609,2003,"BIO16"
610,2004,"BIO16"
611,2005,"BIO16"
612,2006,"BIO16"
613,2007,"BIO16"
614,2008,"BIO16"
615,2009,"BIO16"
616,2010,"BIO16"
617,2011,"BIO16"
618,2012,"BIO16"
619,2013,"BIO16"
620,2014,"BIO16"
621,2015,"BIO16"
622,2016,"BIO16"
623,2017,"BIO16"
624,2018,"BIO16"
625,1980,"BIO17"
626,1981,"BIO17"
627,1982,"BIO17"
628,1983,"BIO17"
629,1984,"BIO17"
630,1985,"BIO17"
631,1986,"BIO17"
632,1987,"BIO17"
633,1988,"BIO17"
634,1989,"BIO17"
635,1990,"BIO17"
636,1991,"BIO17"
637,1992,"BIO17"
638,1993,"BIO17"
639,1994,"BIO17"
640,1995,"BIO17"
641,1996,"BIO17"
642,1997,"BIO17"
643,1998,"BIO17"
644,1999,"BIO17"
645,2000,"BIO17"
646,2001,"BIO17"
647,2002,"BIO17"
648,2003,"BIO17"
649,2004,"BIO17"
650,2005,"BIO17"
651,2006,"BIO17"
652,2007,"BIO17"
653,2008,"BIO17"
654,2009,"BIO17"
655,2010,"BIO17"
656,2011,"BIO17"
657,2012,"BIO17"
658,2013,"BIO17"
659,2014,"BIO17"
660,2015,"BIO17"
661,2016,"BIO17"
662,2017,"BIO17"
663,2018,"BIO17"
664,1980,"BIO18"
665,1981,"BIO18"
666,1982,"BIO18"
667,1983,"BIO18"
668,1984,"BIO18"
669,1985,"BIO18"
670,1986,"BIO18"
671,1987,"BIO18"
672,1988,"BIO18"
673,1989,"BIO18"
674,1990,"BIO18"
675,1991,"BIO18"
676,1992,"BIO18"
677,1993,"BIO18"
678,1994,"BIO18"
679,1995,"BIO18"
680,1996,"BIO18"
681,1997,"BIO18"
682,1998,"BIO18"
683,1999,"BIO18"
684,2000,"BIO18"
685,2001,"BIO18"
686,2002,"BIO18"
687,2003,"BIO18"
688,2004,"BIO18"
689,2005,"BIO18"
690,2006,"BIO18"
691,2007,"BIO18"
692,2008,"BIO18"
693,2009,"BIO18"
694,2010,"BIO18"
695,2011,"BIO18"
696,2012,"BIO18"
697,2013,"BIO18"
698,2014,"BIO18"
699,2015,"BIO18"
700,2016,"BIO18"
701,2017,"BIO18"
702,2018,"BIO18"
703,1980,"BIO19"
704,1981,"BIO19"
705,1982,"BIO19"
706,1983,"BIO19"
707,1984,"BIO19"
708,1985,"BIO19"
709,1986,"BIO19"
710,1987,"BIO19"
711,1988,"BIO19"
712,1989,"BIO19"
713,1990,"BIO19"
714,1991,"BIO19"
715,1992,"BIO19"
716,1993,"BIO19"
717,1994,"BIO19"
718,1995,"BIO19"
719,1996,"BIO19"
720,1997,"BIO19"
721,1998,"BIO19"
722,1999,"BIO19"
723,2000,"BIO19"
724,2001,"BIO19"
725,2002,"BIO19"
726,2003,"BIO19"
727,2004,"BIO19"
728,2005,"BIO19"
729,2006,"BIO19"
730,2007,"BIO19"
731,2008,"BIO19"
732,2009,"BIO19"
733,2010,"BIO19"
734,2011,"BIO19"
735,2012,"BIO19"
736,2013,"BIO19"
737,2014,"BIO19"
738,2015,"BIO19"
739,2016,"BIO19"
740,2017,"BIO19"
741,2018,"BIO19"
